Sample_ID,Dimethylamine,Alanine,Betaine,Glycine,Guanidinoacetic_acid,Formic_acid,Fumaric_acid,Lactic_acid,Succinic_acid,Butyrate,Oxaloacetic_acid,Glucose,Lactose
P01-H1,36,51,12,270,100,0,0,87,5,44,38,64,0
P02-H1,34,120,15,310,140,42,0,58,11,0,17,52,0
P03-H1,33,66,14,430,0,14,5,100,22,0,22,70,0
P04-H1,34,120,38,420,0,36,0,52,0,0,23,89,120
P05-H1,43,24,9,170,0,40,0,0,14,22,300,38,140
P06-H1,41,140,16,410,210,44,3,140,10,0,73,66,120
P07-H1,38,31,10,250,0,16,0,0,12,0,48,130,0
P08-H1,80,99,23,410,110,40,3,170,16,0,23,100,0
P09-H1,42,160,56,840,200,48,6,68,39,15,61,110,0
P10-H1,37,130,25,470,0,53,0,0,11,21,59,53,110
P11-H1,35,92,15,380,280,34,3,120,40,0,0,53,0
P12-H1,32,140,18,610,130,83,3,140,13,0,54,95,160
P15-H1,35,100,24,490,180,32,5,0,17,25,0,53,0
P18-H1,37,22,11,210,110,20,0,0,38,32,65,43,0
P19-H1,33,46,12,330,190,27,0,0,14,0,18,56,0
P21-H1,35,190,23,450,200,36,3,480,17,0,21,260,0
P22-H1,37,100,0,470,220,37,0,210,23,0,23,140,110
P23-H1,32,120,26,440,210,18,0,110,12,0,25,87,0
P24-H1,31,88,62,210,110,29,2,370,0,290,61,1700,0
P25-H1,42,42,41,390,170,110,5,0,12,400,89,36,0
P26-H1,37,28,11,180,0,23,3,0,0,150,440,50,0
P27-H1,39,64,16,220,110,17,5,0,8,17,33,68,0
P28-H1,32,17,8,280,0,13,0,0,0,410,55,0,0
P29-H1,35,43,8,230,140,41,0,0,0,24,0,81,0
P30-H1,110,42,130,220,140,35,0,0,10,14,0,39,0
P31-H1,38,89,12,0,0,21,3,100,0,24,40,91,0
P32-H1,33,160,10,370,130,64,0,0,7,0,29,600,0
P01-H2,32,48,0,210,0,23,0,0,9,0,0,42,0
P02-H2,0,17,0,80,0,21,2,0,12,0,140,0,410
P03-H2,0,23,0,120,0,12,0,0,6,0,58,0,190
P04-H2,0,24,8,94,0,14,0,0,0,0,130,0,520
P05-H2,41,65,41,330,160,23,0,0,11,0,47,970,0
P06-H2,37,0,28,97,160,0,0,0,0,22,350,47,1100
P07-H2,0,17,0,130,0,13,0,0,6,0,88,0,250
P08-H2,31,39,7,340,0,14,0,0,0,0,190,72,680
P09-H2,0,30,0,290,310,26,0,0,20,0,350,46,390
P10-H2,32,35,10,150,0,11,0,0,5,19,170,40,340
P11-H2,33,29,12,180,120,27,0,0,21,20,76,0,310
P12-H2,0,39,0,210,0,20,0,0,5,0,130,38,640
P15-H2,0,29,0,120,0,12,0,0,0,0,86,0,230
P18-H2,0,15,26,100,0,0,0,0,0,17,160,35,490
P19-H2,0,13,8,150,0,12,0,0,0,0,59,0,230
P21-H2,0,17,0,93,0,15,0,0,14,0,83,0,380
P22-H2,34,16,0,80,0,21,0,0,6,0,190,0,620
P23-H2,0,12,14,160,0,15,0,0,7,0,120,0,320
P24-H2,0,12,0,110,0,0,0,0,8,0,0,0,0
P25-H2,0,13,0,66,0,15,0,0,0,18,97,0,240
P26-H2,0,25,14,170,0,23,2,0,13,0,58,47,0
P27-H2,33,31,15,180,0,13,0,0,0,21,130,36,520
P28-H2,0,16,9,65,0,13,0,0,8,0,150,0,210
P29-H2,0,13,0,73,0,15,0,0,0,0,80,0,200
P30-H2,0,13,0,99,0,16,0,0,6,14,170,0,530
P31-H2,0,16,8,52,0,21,0,0,0,15,57,0,0
P32-H2,0,23,23,39,0,20,0,0,7,21,81,0,210
